age_group,year,sex,race_eth,deaths,crude.rate,cod
< 1 year,2017,Male,White,255,351.6,all_cause
1-4 years,1999,Female,Black or African American,35,47.3,all_cause
1-4 years,1999,Female,White,76,21.9,all_cause
1-4 years,1999,Male,Black or African American,40,52.3,all_cause
1-4 years,1999,Male,White,108,29.6,all_cause
1-4 years,2000,Female,Black or African American,25,34.1,all_cause
1-4 years,2000,Female,White,73,21.8,all_cause
1-4 years,2000,Male,Black or African American,36,47.2,all_cause
1-4 years,2000,Male,White,101,28.6,all_cause
1-4 years,2001,Female,Black or African American,32,45.8,all_cause
1-4 years,2001,Female,White,66,20.5,all_cause
1-4 years,2001,Male,Black or African American,44,60.3,all_cause
1-4 years,2001,Male,White,115,33.9,all_cause
1-4 years,2002,Female,Black or African American,17,Unreliable,all_cause
1-4 years,2002,Female,White,69,21.7,all_cause
1-4 years,2002,Male,Black or African American,35,49.9,all_cause
1-4 years,2002,Male,White,94,28.1,all_cause
1-4 years,2003,Female,Black or African American,30,45.3,all_cause
1-4 years,2003,Female,White,70,22.3,all_cause
1-4 years,2003,Male,Black or African American,37,54.1,all_cause
1-4 years,2003,Male,White,86,26.0,all_cause
1-4 years,2004,Female,Black or African American,24,37.2,all_cause
1-4 years,2004,Female,White,68,21.9,all_cause
1-4 years,2004,Male,Black or African American,33,49.3,all_cause
1-4 years,2004,Male,White,78,23.8,all_cause
1-4 years,2005,Female,Black or African American,27,42.9,all_cause
1-4 years,2005,Female,White,62,20.1,all_cause
1-4 years,2005,Male,Black or African American,29,44.2,all_cause
1-4 years,2005,Male,White,95,29.4,all_cause
1-4 years,2006,Female,Black or African American,27,43.7,all_cause
1-4 years,2006,Female,White,70,23.2,all_cause
1-4 years,2006,Male,Black or African American,36,55.6,all_cause
1-4 years,2006,Male,White,77,24.3,all_cause
1-4 years,2007,Female,Black or African American,30,49.4,all_cause
1-4 years,2007,Female,White,60,20.2,all_cause
1-4 years,2007,Male,Black or African American,18,Unreliable,all_cause
1-4 years,2007,Male,White,78,25.0,all_cause
1-4 years,2008,Female,Black or African American,34,55.1,all_cause
1-4 years,2008,Female,White,48,16.4,all_cause
1-4 years,2008,Male,Black or African American,23,35.6,all_cause
1-4 years,2008,Male,White,75,24.4,all_cause
1-4 years,2009,Female,Black or African American,20,32.0,all_cause
1-4 years,2009,Female,White,56,19.5,all_cause
1-4 years,2009,Male,Black or African American,37,56.8,all_cause
1-4 years,2009,Male,White,73,24.2,all_cause
1-4 years,2010,Female,Black or African American,24,38.5,all_cause
1-4 years,2010,Female,White,49,17.5,all_cause
1-4 years,2010,Male,Black or African American,19,Unreliable,all_cause
1-4 years,2010,Male,White,68,23.0,all_cause
1-4 years,2011,Female,Black or African American,15,Unreliable,all_cause
1-4 years,2011,Female,White,55,19.9,all_cause
1-4 years,2011,Male,Black or African American,21,32.5,all_cause
1-4 years,2011,Male,White,62,21.4,all_cause
1-4 years,2012,Female,Black or African American,22,35.6,all_cause
1-4 years,2012,Female,White,47,17.1,all_cause
1-4 years,2012,Male,Black or African American,27,42.2,all_cause
1-4 years,2012,Male,White,69,23.9,all_cause
1-4 years,2013,Female,Black or African American,17,Unreliable,all_cause
1-4 years,2013,Female,White,42,15.3,all_cause
1-4 years,2013,Male,Black or African American,20,31.5,all_cause
1-4 years,2013,Male,White,61,21.2,all_cause
1-4 years,2014,Female,Black or African American,19,Unreliable,all_cause
1-4 years,2014,Female,White,37,13.4,all_cause
1-4 years,2014,Male,Black or African American,34,53.3,all_cause
1-4 years,2014,Male,White,57,19.6,all_cause
1-4 years,2015,Female,Black or African American,14,Unreliable,all_cause
1-4 years,2015,Female,White,42,15.1,all_cause
1-4 years,2015,Male,Black or African American,21,32.9,all_cause
1-4 years,2015,Male,White,57,19.5,all_cause
1-4 years,2016,Female,Black or African American,26,42.9,all_cause
1-4 years,2016,Female,White,54,19.5,all_cause
1-4 years,2016,Male,Black or African American,20,31.8,all_cause
1-4 years,2016,Male,White,65,22.3,all_cause
1-4 years,2017,Female,Black or African American,17,Unreliable,all_cause
1-4 years,2017,Female,White,38,13.7,all_cause
1-4 years,2017,Male,Black or African American,27,43.5,all_cause
1-4 years,2017,Male,White,61,20.9,all_cause
5-9 years,1999,Female,Black or African American,25,22.5,all_cause
5-9 years,1999,Female,White,58,11.8,all_cause
5-9 years,1999,Male,Black or African American,26,22.6,all_cause
5-9 years,1999,Male,White,70,13.4,all_cause
5-9 years,2000,Female,Black or African American,23,21.5,all_cause
5-9 years,2000,Female,White,58,12.2,all_cause
5-9 years,2000,Male,Black or African American,26,23.5,all_cause
5-9 years,2000,Male,White,61,12.1,all_cause
5-9 years,2001,Female,Black or African American,18,Unreliable,all_cause
5-9 years,2001,Female,White,62,13.7,all_cause
5-9 years,2001,Male,Black or African American,27,25.6,all_cause
5-9 years,2001,Male,White,78,16.3,all_cause
5-9 years,2002,Female,Black or African American,18,Unreliable,all_cause
5-9 years,2002,Female,White,49,11.3,all_cause
5-9 years,2002,Male,Black or African American,18,Unreliable,all_cause
5-9 years,2002,Male,White,61,13.3,all_cause
5-9 years,2003,Female,White,57,13.7,all_cause
5-9 years,2003,Male,Black or African American,27,27.7,all_cause
5-9 years,2003,Male,White,58,13.2,all_cause
5-9 years,2004,Female,Black or African American,17,Unreliable,all_cause
5-9 years,2004,Female,White,49,12.2,all_cause
5-9 years,2004,Male,Black or African American,21,22.4,all_cause
5-9 years,2004,Male,White,71,16.7,all_cause
5-9 years,2005,Female,Black or African American,11,Unreliable,all_cause
5-9 years,2005,Female,White,44,11.4,all_cause
5-9 years,2005,Male,Black or African American,15,Unreliable,all_cause
5-9 years,2005,Male,White,49,12.1,all_cause
5-9 years,2006,Female,Black or African American,15,Unreliable,all_cause
5-9 years,2006,Female,White,37,9.9,all_cause
5-9 years,2006,Male,Black or African American,20,23.4,all_cause
5-9 years,2006,Male,White,58,14.8,all_cause
5-9 years,2007,Female,White,34,9.4,all_cause
5-9 years,2007,Male,Black or African American,21,25.5,all_cause
5-9 years,2007,Male,White,37,9.7,all_cause
5-9 years,2008,Female,White,31,8.6,all_cause
5-9 years,2008,Male,Black or African American,18,Unreliable,all_cause
5-9 years,2008,Male,White,36,9.5,all_cause
5-9 years,2009,Female,White,33,9.2,all_cause
5-9 years,2009,Male,Black or African American,12,Unreliable,all_cause
5-9 years,2009,Male,White,45,11.9,all_cause
5-9 years,2010,Female,White,33,9.2,all_cause
5-9 years,2010,Male,Black or African American,14,Unreliable,all_cause
5-9 years,2010,Male,White,35,9.2,all_cause
5-9 years,2011,Female,White,31,8.7,all_cause
5-9 years,2011,Male,Black or African American,16,Unreliable,all_cause
5-9 years,2011,Male,White,37,9.8,all_cause
5-9 years,2012,Female,White,18,Unreliable,all_cause
5-9 years,2012,Male,Black or African American,13,Unreliable,all_cause
5-9 years,2012,Male,White,27,7.2,all_cause
5-9 years,2013,Female,Black or African American,14,Unreliable,all_cause
5-9 years,2013,Female,White,34,9.6,all_cause
5-9 years,2013,Male,Black or African American,11,Unreliable,all_cause
5-9 years,2013,Male,White,40,10.7,all_cause
5-9 years,2014,Female,White,37,10.6,all_cause
5-9 years,2014,Male,Black or African American,10,Unreliable,all_cause
5-9 years,2014,Male,White,27,7.4,all_cause
5-9 years,2015,Female,White,28,8.2,all_cause
5-9 years,2015,Male,Black or African American,16,Unreliable,all_cause
5-9 years,2015,Male,White,35,9.7,all_cause
5-9 years,2016,Female,White,31,9.1,all_cause
5-9 years,2016,Male,Black or African American,14,Unreliable,all_cause
5-9 years,2016,Male,White,34,9.5,all_cause
5-9 years,2017,Female,Black or African American,13,Unreliable,all_cause
5-9 years,2017,Female,White,26,7.7,all_cause
5-9 years,2017,Male,Black or African American,15,Unreliable,all_cause
5-9 years,2017,Male,White,27,7.6,all_cause
10-14 years,1999,Female,Black or African American,27,26.5,all_cause
10-14 years,1999,Female,White,60,12.3,all_cause
10-14 years,1999,Male,Black or African American,31,29.5,all_cause
10-14 years,1999,Male,White,113,22.0,all_cause
10-14 years,2000,Female,Black or African American,20,19.1,all_cause
10-14 years,2000,Female,White,69,14.0,all_cause
10-14 years,2000,Male,Black or African American,34,31.5,all_cause
10-14 years,2000,Male,White,123,23.6,all_cause
10-14 years,2001,Female,Black or African American,19,Unreliable,all_cause
10-14 years,2001,Female,White,64,12.9,all_cause
10-14 years,2001,Male,Black or African American,33,29.6,all_cause
10-14 years,2001,Male,White,98,18.7,all_cause
10-14 years,2002,Female,Black or African American,19,Unreliable,all_cause
10-14 years,2002,Female,White,69,13.9,all_cause
10-14 years,2002,Male,Black or African American,48,42.5,all_cause
10-14 years,2002,Male,White,92,17.6,all_cause
10-14 years,2003,Female,Black or African American,16,Unreliable,all_cause
10-14 years,2003,Female,White,67,13.7,all_cause
10-14 years,2003,Male,Black or African American,36,31.8,all_cause
10-14 years,2003,Male,White,92,17.8,all_cause
10-14 years,2004,Female,Black or African American,23,21.4,all_cause
10-14 years,2004,Female,White,53,11.1,all_cause
10-14 years,2004,Male,Black or African American,33,29.5,all_cause
10-14 years,2004,Male,White,97,19.2,all_cause
10-14 years,2005,Female,Black or African American,14,Unreliable,all_cause
10-14 years,2005,Female,White,55,12.0,all_cause
10-14 years,2005,Male,Black or African American,37,34.1,all_cause
10-14 years,2005,Male,White,69,14.3,all_cause
10-14 years,2006,Female,Black or African American,23,22.9,all_cause
10-14 years,2006,Female,White,48,10.9,all_cause
10-14 years,2006,Male,Black or African American,24,23.0,all_cause
10-14 years,2006,Male,White,78,16.8,all_cause
10-14 years,2007,Female,Black or African American,15,Unreliable,all_cause
10-14 years,2007,Female,White,49,11.7,all_cause
10-14 years,2007,Male,Black or African American,26,25.9,all_cause
10-14 years,2007,Male,White,69,15.6,all_cause
10-14 years,2008,Female,Black or African American,19,Unreliable,all_cause
10-14 years,2008,Female,White,39,9.6,all_cause
10-14 years,2008,Male,Black or African American,19,Unreliable,all_cause
10-14 years,2008,Male,White,50,11.7,all_cause
10-14 years,2009,Female,Black or African American,18,Unreliable,all_cause
10-14 years,2009,Female,White,39,9.9,all_cause
10-14 years,2009,Male,Black or African American,19,Unreliable,all_cause
10-14 years,2009,Male,White,59,14.2,all_cause
10-14 years,2010,Female,Black or African American,18,Unreliable,all_cause
10-14 years,2010,Female,White,38,9.9,all_cause
10-14 years,2010,Male,Black or African American,23,25.3,all_cause
10-14 years,2010,Male,White,51,12.6,all_cause
10-14 years,2011,Female,Black or African American,12,Unreliable,all_cause
10-14 years,2011,Female,White,33,8.8,all_cause
10-14 years,2011,Male,Black or African American,15,Unreliable,all_cause
10-14 years,2011,Male,White,54,13.7,all_cause
10-14 years,2012,Female,Black or African American,12,Unreliable,all_cause
10-14 years,2012,Female,White,44,12.0,all_cause
10-14 years,2012,Male,Black or African American,21,24.3,all_cause
10-14 years,2012,Male,White,41,10.6,all_cause
10-14 years,2013,Female,Black or African American,16,Unreliable,all_cause
10-14 years,2013,Female,White,31,8.5,all_cause
10-14 years,2013,Male,Black or African American,18,Unreliable,all_cause
10-14 years,2013,Male,White,50,13.1,all_cause
10-14 years,2014,Female,White,28,7.8,all_cause
10-14 years,2014,Male,Black or African American,18,Unreliable,all_cause
10-14 years,2014,Male,White,47,12.4,all_cause
10-14 years,2015,Female,White,46,12.9,all_cause
10-14 years,2015,Male,Black or African American,19,Unreliable,all_cause
10-14 years,2015,Male,White,39,10.4,all_cause
10-14 years,2016,Female,Black or African American,13,Unreliable,all_cause
10-14 years,2016,Female,White,39,11.1,all_cause
10-14 years,2016,Male,Black or African American,13,Unreliable,all_cause
10-14 years,2016,Male,White,43,11.6,all_cause
10-14 years,2017,Female,Black or African American,10,Unreliable,all_cause
10-14 years,2017,Female,White,38,10.9,all_cause
10-14 years,2017,Male,Black or African American,22,27.7,all_cause
10-14 years,2017,Male,White,56,15.3,all_cause
15-19 years,1999,Female,Black or African American,37,42.4,all_cause
15-19 years,1999,Female,White,156,33.9,all_cause
15-19 years,1999,Male,Black or African American,121,129.5,all_cause
15-19 years,1999,Male,White,321,65.6,all_cause
15-19 years,2000,Female,Black or African American,34,38.4,all_cause
15-19 years,2000,Female,White,137,29.4,all_cause
15-19 years,2000,Male,Black or African American,150,159.6,all_cause
15-19 years,2000,Male,White,304,61.4,all_cause
15-19 years,2001,Female,Black or African American,39,43.3,all_cause
15-19 years,2001,Female,White,163,35.1,all_cause
15-19 years,2001,Male,Black or African American,144,149.4,all_cause
15-19 years,2001,Male,White,365,73.3,all_cause
15-19 years,2002,Female,Black or African American,35,38.1,all_cause
15-19 years,2002,Female,White,187,40.0,all_cause
15-19 years,2002,Male,Black or African American,127,129.5,all_cause
15-19 years,2002,Male,White,369,73.8,all_cause
15-19 years,2003,Female,Black or African American,41,43.2,all_cause
15-19 years,2003,Female,White,176,37.4,all_cause
15-19 years,2003,Male,Black or African American,162,161.8,all_cause
15-19 years,2003,Male,White,368,73.5,all_cause
15-19 years,2004,Female,Black or African American,34,34.7,all_cause
15-19 years,2004,Female,White,174,36.8,all_cause
15-19 years,2004,Male,Black or African American,207,200.6,all_cause
15-19 years,2004,Male,White,350,69.3,all_cause
15-19 years,2005,Female,Black or African American,43,42.5,all_cause
15-19 years,2005,Female,White,171,36.0,all_cause
15-19 years,2005,Male,Black or African American,190,178.2,all_cause
15-19 years,2005,Male,White,328,64.5,all_cause
15-19 years,2006,Female,Black or African American,41,39.9,all_cause
15-19 years,2006,Female,White,160,33.7,all_cause
15-19 years,2006,Male,Black or African American,189,173.6,all_cause
15-19 years,2006,Male,White,341,67.2,all_cause
15-19 years,2007,Female,Black or African American,39,37.6,all_cause
15-19 years,2007,Female,White,137,29.2,all_cause
15-19 years,2007,Male,Black or African American,167,152.3,all_cause
15-19 years,2007,Male,White,305,60.6,all_cause
15-19 years,2008,Female,Black or African American,46,44.4,all_cause
15-19 years,2008,Female,White,112,24.3,all_cause
15-19 years,2008,Male,Black or African American,141,128.8,all_cause
15-19 years,2008,Male,White,278,56.3,all_cause
15-19 years,2009,Female,Black or African American,36,35.2,all_cause
15-19 years,2009,Female,White,120,26.8,all_cause
15-19 years,2009,Male,Black or African American,129,119.3,all_cause
15-19 years,2009,Male,White,286,59.5,all_cause
15-19 years,2010,Female,Black or African American,32,31.9,all_cause
15-19 years,2010,Female,White,95,21.8,all_cause
15-19 years,2010,Male,Black or African American,142,133.9,all_cause
15-19 years,2010,Male,White,229,49.1,all_cause
15-19 years,2011,Female,Black or African American,43,45.0,all_cause
15-19 years,2011,Female,White,96,23.3,all_cause
15-19 years,2011,Male,Black or African American,114,112.0,all_cause
15-19 years,2011,Male,White,244,54.9,all_cause
15-19 years,2012,Female,Black or African American,31,33.5,all_cause
15-19 years,2012,Female,White,81,20.1,all_cause
15-19 years,2012,Male,Black or African American,113,115.0,all_cause
15-19 years,2012,Male,White,214,49.4,all_cause
15-19 years,2013,Female,Black or African American,37,41.3,all_cause
15-19 years,2013,Female,White,103,26.2,all_cause
15-19 years,2013,Male,Black or African American,110,115.8,all_cause
15-19 years,2013,Male,White,214,50.9,all_cause
15-19 years,2014,Female,Black or African American,32,36.8,all_cause
15-19 years,2014,Female,White,94,24.4,all_cause
15-19 years,2014,Male,Black or African American,90,97.3,all_cause
15-19 years,2014,Male,White,196,47.8,all_cause
15-19 years,2015,Female,Black or African American,28,33.1,all_cause
15-19 years,2015,Female,White,91,24.1,all_cause
15-19 years,2015,Male,Black or African American,92,102.1,all_cause
15-19 years,2015,Male,White,198,49.2,all_cause
15-19 years,2016,Female,Black or African American,32,38.6,all_cause
15-19 years,2016,Female,White,83,22.3,all_cause
15-19 years,2016,Male,Black or African American,90,102.8,all_cause
15-19 years,2016,Male,White,209,53.0,all_cause
15-19 years,2017,Female,Black or African American,24,29.6,all_cause
15-19 years,2017,Female,White,61,16.8,all_cause
15-19 years,2017,Male,Black or African American,93,108.7,all_cause
15-19 years,2017,Male,White,190,49.3,all_cause
20-24 years,1999,Female,Black or African American,50,65.2,all_cause
20-24 years,1999,Female,White,179,43.2,all_cause
20-24 years,1999,Male,Black or African American,191,239.6,all_cause
20-24 years,1999,Male,White,476,106.8,all_cause
20-24 years,2000,Female,Black or African American,49,61.7,all_cause
20-24 years,2000,Female,White,162,37.8,all_cause
20-24 years,2000,Male,Black or African American,222,272.1,all_cause
20-24 years,2000,Male,White,482,105.8,all_cause
20-24 years,2001,Female,Black or African American,47,57.2,all_cause
20-24 years,2001,Female,White,198,43.5,all_cause
20-24 years,2001,Male,Black or African American,221,258.0,all_cause
20-24 years,2001,Male,White,523,108.6,all_cause
20-24 years,2002,Female,Black or African American,62,74.2,all_cause
20-24 years,2002,Female,White,189,40.6,all_cause
20-24 years,2002,Male,Black or African American,263,300.2,all_cause
20-24 years,2002,Male,White,515,104.9,all_cause
20-24 years,2003,Female,Black or African American,67,79.4,all_cause
20-24 years,2003,Female,White,203,42.9,all_cause
20-24 years,2003,Male,Black or African American,233,265.6,all_cause
20-24 years,2003,Male,White,539,110.1,all_cause
20-24 years,2004,Female,Black or African American,57,67.5,all_cause
20-24 years,2004,Female,White,212,44.6,all_cause
20-24 years,2004,Male,Black or African American,224,250.7,all_cause
20-24 years,2004,Male,White,566,113.7,all_cause
20-24 years,2005,Female,Black or African American,53,63.1,all_cause
20-24 years,2005,Female,White,189,40.1,all_cause
20-24 years,2005,Male,Black or African American,265,291.4,all_cause
20-24 years,2005,Male,White,563,111.8,all_cause
20-24 years,2006,Female,Black or African American,75,88.3,all_cause
20-24 years,2006,Female,White,199,42.7,all_cause
20-24 years,2006,Male,Black or African American,227,247.3,all_cause
20-24 years,2006,Male,White,552,110.1,all_cause
20-24 years,2007,Female,Black or African American,67,78.2,all_cause
20-24 years,2007,Female,White,180,38.7,all_cause
20-24 years,2007,Male,Black or African American,225,242.3,all_cause
20-24 years,2007,Male,White,575,113.8,all_cause
20-24 years,2008,Female,Black or African American,59,67.3,all_cause
20-24 years,2008,Female,White,165,35.5,all_cause
20-24 years,2008,Male,Black or African American,212,225.5,all_cause
20-24 years,2008,Male,White,599,118.8,all_cause
20-24 years,2009,Female,Black or African American,66,73.1,all_cause
20-24 years,2009,Female,White,171,36.7,all_cause
20-24 years,2009,Male,Black or African American,200,208.7,all_cause
20-24 years,2009,Male,White,525,104.0,all_cause
20-24 years,2010,Female,Black or African American,48,51.9,all_cause
20-24 years,2010,Female,White,176,37.9,all_cause
20-24 years,2010,Male,Black or African American,213,218.3,all_cause
20-24 years,2010,Male,White,543,107.7,all_cause
20-24 years,2011,Female,Black or African American,51,52.2,all_cause
20-24 years,2011,Female,White,192,40.4,all_cause
20-24 years,2011,Male,Black or African American,209,200.8,all_cause
20-24 years,2011,Male,White,530,103.1,all_cause
20-24 years,2012,Female,Black or African American,68,67.4,all_cause
20-24 years,2012,Female,White,177,37.1,all_cause
20-24 years,2012,Male,Black or African American,208,192.9,all_cause
20-24 years,2012,Male,White,534,103.5,all_cause
20-24 years,2013,Female,Black or African American,44,43.4,all_cause
20-24 years,2013,Female,White,177,37.9,all_cause
20-24 years,2013,Male,Black or African American,227,208.4,all_cause
20-24 years,2013,Male,White,508,99.9,all_cause
20-24 years,2014,Female,Black or African American,59,58.4,all_cause
20-24 years,2014,Female,White,161,35.4,all_cause
20-24 years,2014,Male,Black or African American,209,189.3,all_cause
20-24 years,2014,Male,White,471,94.4,all_cause
20-24 years,2015,Female,Black or African American,48,49.0,all_cause
20-24 years,2015,Female,White,175,40.1,all_cause
20-24 years,2015,Male,Black or African American,198,181.5,all_cause
20-24 years,2015,Male,White,503,104.1,all_cause
20-24 years,2016,Female,Black or African American,53,57.0,all_cause
20-24 years,2016,Female,White,152,36.5,all_cause
20-24 years,2016,Male,Black or African American,218,208.7,all_cause
20-24 years,2016,Male,White,516,111.3,all_cause
20-24 years,2017,Female,Black or African American,53,58.8,all_cause
20-24 years,2017,Female,White,160,39.7,all_cause
20-24 years,2017,Male,Black or African American,190,187.7,all_cause
20-24 years,2017,Male,White,491,110.2,all_cause
25-29 years,1999,Female,Black or African American,65,78.2,all_cause
25-29 years,1999,Female,White,230,46.4,all_cause
25-29 years,1999,Male,Black or African American,180,219.8,all_cause
25-29 years,1999,Male,White,504,97.4,all_cause
25-29 years,2000,Female,Black or African American,75,92.0,all_cause
25-29 years,2000,Female,White,193,40.3,all_cause
25-29 years,2000,Male,Black or African American,206,255.3,all_cause
25-29 years,2000,Male,White,512,102.0,all_cause
25-29 years,2001,Female,Black or African American,88,112.8,all_cause
25-29 years,2001,Female,White,193,42.6,all_cause
25-29 years,2001,Male,Black or African American,205,265.9,all_cause
25-29 years,2001,Male,White,551,115.1,all_cause
25-29 years,2002,Female,Black or African American,53,68.9,all_cause
25-29 years,2002,Female,White,201,45.3,all_cause
25-29 years,2002,Male,Black or African American,228,301.3,all_cause
25-29 years,2002,Male,White,483,103.1,all_cause
25-29 years,2003,Female,Black or African American,59,76.5,all_cause
25-29 years,2003,Female,White,215,48.4,all_cause
25-29 years,2003,Male,Black or African American,212,282.2,all_cause
25-29 years,2003,Male,White,512,110.0,all_cause
25-29 years,2004,Female,Black or African American,76,96.4,all_cause
25-29 years,2004,Female,White,199,44.0,all_cause
25-29 years,2004,Male,Black or African American,226,295.6,all_cause
25-29 years,2004,Male,White,480,101.7,all_cause
25-29 years,2005,Female,Black or African American,86,107.0,all_cause
25-29 years,2005,Female,White,213,46.2,all_cause
25-29 years,2005,Male,Black or African American,235,301.7,all_cause
25-29 years,2005,Male,White,478,99.9,all_cause
25-29 years,2006,Female,Black or African American,67,82.3,all_cause
25-29 years,2006,Female,White,229,48.1,all_cause
25-29 years,2006,Male,Black or African American,235,294.1,all_cause
25-29 years,2006,Male,White,533,108.7,all_cause
25-29 years,2007,Female,Black or African American,99,121.2,all_cause
25-29 years,2007,Female,White,218,45.5,all_cause
25-29 years,2007,Male,Black or African American,190,233.8,all_cause
25-29 years,2007,Male,White,576,116.0,all_cause
25-29 years,2008,Female,Black or African American,75,91.1,all_cause
25-29 years,2008,Female,White,222,45.8,all_cause
25-29 years,2008,Male,Black or African American,191,230.7,all_cause
25-29 years,2008,Male,White,543,107.1,all_cause
25-29 years,2009,Female,Black or African American,68,83.0,all_cause
25-29 years,2009,Female,White,213,44.0,all_cause
25-29 years,2009,Male,Black or African American,192,229.2,all_cause
25-29 years,2009,Male,White,539,105.1,all_cause
25-29 years,2010,Female,Black or African American,64,78.3,all_cause
25-29 years,2010,Female,White,220,45.7,all_cause
25-29 years,2010,Male,Black or African American,165,195.5,all_cause
25-29 years,2010,Male,White,531,103.3,all_cause
25-29 years,2011,Female,Black or African American,69,82.6,all_cause
25-29 years,2011,Female,White,205,42.5,all_cause
25-29 years,2011,Male,Black or African American,187,215.4,all_cause
25-29 years,2011,Male,White,608,117.5,all_cause
25-29 years,2012,Female,Black or African American,59,69.5,all_cause
25-29 years,2012,Female,White,251,52.0,all_cause
25-29 years,2012,Male,Black or African American,177,199.5,all_cause
25-29 years,2012,Male,White,601,115.6,all_cause
25-29 years,2013,Female,Black or African American,59,67.1,all_cause
25-29 years,2013,Female,White,237,48.5,all_cause
25-29 years,2013,Male,Black or African American,151,163.5,all_cause
25-29 years,2013,Male,White,607,115.3,all_cause
25-29 years,2014,Female,Black or African American,79,85.1,all_cause
25-29 years,2014,Female,White,228,45.6,all_cause
25-29 years,2014,Male,Black or African American,205,208.1,all_cause
25-29 years,2014,Male,White,632,117.5,all_cause
25-29 years,2015,Female,Black or African American,83,84.8,all_cause
25-29 years,2015,Female,White,257,50.5,all_cause
25-29 years,2015,Male,Black or African American,219,209.0,all_cause
25-29 years,2015,Male,White,679,123.4,all_cause
