"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"20-24 years","20-24","2014","2014","Female","F","Black or African American","2054-5",10,101106,Unreliable
,"20-24 years","20-24","2014","2014","Female","F","White","2106-3",27,455264,5.9
,"20-24 years","20-24","2014","2014","Male","M","Black or African American","2054-5",18,110396,Unreliable
,"20-24 years","20-24","2014","2014","Male","M","White","2106-3",103,498771,20.7
,"20-24 years","20-24","2015","2015","Female","F","White","2106-3",21,436788,4.8
,"20-24 years","20-24","2015","2015","Male","M","Black or African American","2054-5",22,109089,20.2
,"20-24 years","20-24","2015","2015","Male","M","White","2106-3",119,483006,24.6
,"20-24 years","20-24","2016","2016","Female","F","White","2106-3",21,416039,5.0
,"20-24 years","20-24","2016","2016","Male","M","Black or African American","2054-5",32,104443,30.6
,"20-24 years","20-24","2016","2016","Male","M","White","2106-3",111,463658,23.9
,"20-24 years","20-24","2017","2017","Female","F","White","2106-3",32,402717,7.9
,"20-24 years","20-24","2017","2017","Male","M","Black or African American","2054-5",29,101209,28.7
,"20-24 years","20-24","2017","2017","Male","M","White","2106-3",113,445513,25.4
,"25-29 years","25-29","1999","1999","Female","F","White","2106-3",28,495743,5.6
,"25-29 years","25-29","1999","1999","Male","M","Black or African American","2054-5",16,81895,Unreliable
,"25-29 years","25-29","1999","1999","Male","M","White","2106-3",85,517676,16.4
,"25-29 years","25-29","2000","2000","Female","F","White","2106-3",21,479018,4.4
,"25-29 years","25-29","2000","2000","Male","M","Black or African American","2054-5",23,80698,28.5
,"25-29 years","25-29","2000","2000","Male","M","White","2106-3",84,501861,16.7
,"25-29 years","25-29","2001","2001","Female","F","Black or African American","2054-5",14,77980,Unreliable
,"25-29 years","25-29","2001","2001","Female","F","White","2106-3",29,452882,6.4
,"25-29 years","25-29","2001","2001","Male","M","Black or African American","2054-5",12,77095,Unreliable
,"25-29 years","25-29","2001","2001","Male","M","White","2106-3",100,478598,20.9
,"25-29 years","25-29","2002","2002","Female","F","White","2106-3",30,443804,6.8
,"25-29 years","25-29","2002","2002","Male","M","Black or African American","2054-5",20,75667,26.4
,"25-29 years","25-29","2002","2002","Male","M","White","2106-3",89,468589,19.0
,"25-29 years","25-29","2003","2003","Female","F","White","2106-3",32,443886,7.2
,"25-29 years","25-29","2003","2003","Male","M","Black or African American","2054-5",22,75125,29.3
,"25-29 years","25-29","2003","2003","Male","M","White","2106-3",96,465259,20.6
,"25-29 years","25-29","2004","2004","Female","F","Black or African American","2054-5",12,78805,Unreliable
,"25-29 years","25-29","2004","2004","Female","F","White","2106-3",33,451987,7.3
,"25-29 years","25-29","2004","2004","Male","M","Black or African American","2054-5",22,76455,28.8
,"25-29 years","25-29","2004","2004","Male","M","White","2106-3",90,471896,19.1
,"25-29 years","25-29","2005","2005","Female","F","White","2106-3",27,460650,5.9
,"25-29 years","25-29","2005","2005","Male","M","Black or African American","2054-5",22,77880,28.2
,"25-29 years","25-29","2005","2005","Male","M","White","2106-3",96,478282,20.1
,"25-29 years","25-29","2006","2006","Female","F","White","2106-3",27,475937,5.7
,"25-29 years","25-29","2006","2006","Male","M","Black or African American","2054-5",20,79913,25.0
,"25-29 years","25-29","2006","2006","Male","M","White","2106-3",110,490367,22.4
,"25-29 years","25-29","2007","2007","Female","F","White","2106-3",39,479241,8.1
,"25-29 years","25-29","2007","2007","Male","M","Black or African American","2054-5",21,81256,25.8
,"25-29 years","25-29","2007","2007","Male","M","White","2106-3",97,496400,19.5
,"25-29 years","25-29","2008","2008","Female","F","White","2106-3",28,484571,5.8
,"25-29 years","25-29","2008","2008","Male","M","Black or African American","2054-5",14,82802,Unreliable
,"25-29 years","25-29","2008","2008","Male","M","White","2106-3",95,506778,18.7
,"25-29 years","25-29","2009","2009","Female","F","White","2106-3",23,483863,4.8
,"25-29 years","25-29","2009","2009","Male","M","Black or African American","2054-5",24,83768,28.7
,"25-29 years","25-29","2009","2009","Male","M","White","2106-3",88,512689,17.2
,"25-29 years","25-29","2010","2010","Female","F","White","2106-3",20,481820,4.2
,"25-29 years","25-29","2010","2010","Male","M","Black or African American","2054-5",15,84402,Unreliable
,"25-29 years","25-29","2010","2010","Male","M","White","2106-3",68,513800,13.2
,"25-29 years","25-29","2011","2011","Female","F","White","2106-3",14,482609,Unreliable
,"25-29 years","25-29","2011","2011","Male","M","Black or African American","2054-5",25,86822,28.8
,"25-29 years","25-29","2011","2011","Male","M","White","2106-3",78,517232,15.1
,"25-29 years","25-29","2012","2012","Female","F","White","2106-3",31,482818,6.4
,"25-29 years","25-29","2012","2012","Male","M","Black or African American","2054-5",12,88714,Unreliable
,"25-29 years","25-29","2012","2012","Male","M","White","2106-3",89,519735,17.1
,"25-29 years","25-29","2013","2013","Female","F","White","2106-3",27,488810,5.5
,"25-29 years","25-29","2013","2013","Male","M","White","2106-3",88,526325,16.7
,"25-29 years","25-29","2014","2014","Female","F","White","2106-3",24,499474,4.8
,"25-29 years","25-29","2014","2014","Male","M","Black or African American","2054-5",21,98496,21.3
,"25-29 years","25-29","2014","2014","Male","M","White","2106-3",88,538045,16.4
,"25-29 years","25-29","2015","2015","Female","F","White","2106-3",25,508562,4.9
,"25-29 years","25-29","2015","2015","Male","M","Black or African American","2054-5",27,104800,25.8
,"25-29 years","25-29","2015","2015","Male","M","White","2106-3",112,550272,20.4
,"25-29 years","25-29","2016","2016","Female","F","White","2106-3",22,514680,4.3
,"25-29 years","25-29","2016","2016","Male","M","Black or African American","2054-5",29,108461,26.7
,"25-29 years","25-29","2016","2016","Male","M","White","2106-3",97,554048,17.5
,"25-29 years","25-29","2017","2017","Female","F","White","2106-3",17,509333,Unreliable
,"25-29 years","25-29","2017","2017","Male","M","Black or African American","2054-5",25,112917,22.1
,"25-29 years","25-29","2017","2017","Male","M","White","2106-3",114,550941,20.7
,"30-34 years","30-34","1999","1999","Female","F","White","2106-3",34,580844,5.9
,"30-34 years","30-34","1999","1999","Male","M","Black or African American","2054-5",14,94080,Unreliable
,"30-34 years","30-34","1999","1999","Male","M","White","2106-3",91,606405,15.0
,"30-34 years","30-34","2000","2000","Female","F","White","2106-3",21,563325,3.7
,"30-34 years","30-34","2000","2000","Male","M","Black or African American","2054-5",15,91219,Unreliable
,"30-34 years","30-34","2000","2000","Male","M","White","2106-3",92,590356,15.6
,"30-34 years","30-34","2001","2001","Female","F","Black or African American","2054-5",10,90473,Unreliable
,"30-34 years","30-34","2001","2001","Female","F","White","2106-3",29,557522,5.2
,"30-34 years","30-34","2001","2001","Male","M","Black or African American","2054-5",17,89825,Unreliable
,"30-34 years","30-34","2001","2001","Male","M","White","2106-3",78,586075,13.3
,"30-34 years","30-34","2002","2002","Female","F","White","2106-3",45,541343,8.3
,"30-34 years","30-34","2002","2002","Male","M","Black or African American","2054-5",12,88080,Unreliable
,"30-34 years","30-34","2002","2002","Male","M","White","2106-3",70,570768,12.3
,"30-34 years","30-34","2003","2003","Female","F","White","2106-3",31,521197,5.9
,"30-34 years","30-34","2003","2003","Male","M","Black or African American","2054-5",15,85323,Unreliable
,"30-34 years","30-34","2003","2003","Male","M","White","2106-3",77,548331,14.0
,"30-34 years","30-34","2004","2004","Female","F","White","2106-3",27,493900,5.5
,"30-34 years","30-34","2004","2004","Male","M","Black or African American","2054-5",29,82483,35.2
,"30-34 years","30-34","2004","2004","Male","M","White","2106-3",85,522670,16.3
,"30-34 years","30-34","2005","2005","Female","F","White","2106-3",22,460053,4.8
,"30-34 years","30-34","2005","2005","Male","M","Black or African American","2054-5",25,78238,32.0
,"30-34 years","30-34","2005","2005","Male","M","White","2106-3",79,490228,16.1
,"30-34 years","30-34","2006","2006","Female","F","White","2106-3",31,432159,7.2
,"30-34 years","30-34","2006","2006","Male","M","Black or African American","2054-5",10,75252,Unreliable
,"30-34 years","30-34","2006","2006","Male","M","White","2106-3",69,464104,14.9
,"30-34 years","30-34","2007","2007","Female","F","White","2106-3",18,421061,Unreliable
,"30-34 years","30-34","2007","2007","Male","M","Black or African American","2054-5",23,74149,31.0
,"30-34 years","30-34","2007","2007","Male","M","White","2106-3",68,452712,15.0
,"30-34 years","30-34","2008","2008","Female","F","White","2106-3",17,420432,Unreliable
,"30-34 years","30-34","2008","2008","Male","M","Black or African American","2054-5",10,74513,Unreliable
,"30-34 years","30-34","2008","2008","Male","M","White","2106-3",77,452424,17.0
,"30-34 years","30-34","2009","2009","Male","M","Black or African American","2054-5",11,75986,Unreliable
,"30-34 years","30-34","2009","2009","Male","M","White","2106-3",58,460693,12.6
,"30-34 years","30-34","2010","2010","Female","F","White","2106-3",14,438147,Unreliable
,"30-34 years","30-34","2010","2010","Male","M","Black or African American","2054-5",18,77616,Unreliable
,"30-34 years","30-34","2010","2010","Male","M","White","2106-3",48,467414,10.3
,"30-34 years","30-34","2011","2011","Female","F","White","2106-3",21,451385,4.7
,"30-34 years","30-34","2011","2011","Male","M","Black or African American","2054-5",10,80027,Unreliable
,"30-34 years","30-34","2011","2011","Male","M","White","2106-3",58,482801,12.0
,"30-34 years","30-34","2012","2012","Female","F","White","2106-3",15,462737,Unreliable
,"30-34 years","30-34","2012","2012","Male","M","Black or African American","2054-5",15,81830,Unreliable
,"30-34 years","30-34","2012","2012","Male","M","White","2106-3",56,495771,11.3
,"30-34 years","30-34","2013","2013","Female","F","White","2106-3",14,473310,Unreliable
,"30-34 years","30-34","2013","2013","Male","M","Black or African American","2054-5",15,83336,Unreliable
,"30-34 years","30-34","2013","2013","Male","M","White","2106-3",84,509163,16.5
,"30-34 years","30-34","2014","2014","Female","F","White","2106-3",24,481205,5.0
,"30-34 years","30-34","2014","2014","Male","M","Black or African American","2054-5",17,85358,Unreliable
,"30-34 years","30-34","2014","2014","Male","M","White","2106-3",65,517299,12.6
,"30-34 years","30-34","2015","2015","Female","F","White","2106-3",23,485234,4.7
,"30-34 years","30-34","2015","2015","Male","M","Black or African American","2054-5",10,87039,Unreliable
,"30-34 years","30-34","2015","2015","Male","M","White","2106-3",63,522082,12.1
,"30-34 years","30-34","2016","2016","Female","F","White","2106-3",21,486879,4.3
,"30-34 years","30-34","2016","2016","Male","M","Black or African American","2054-5",19,88126,Unreliable
,"30-34 years","30-34","2016","2016","Male","M","White","2106-3",66,525747,12.6
,"30-34 years","30-34","2017","2017","Female","F","White","2106-3",25,489530,5.1
,"30-34 years","30-34","2017","2017","Male","M","Black or African American","2054-5",20,91411,21.9
,"30-34 years","30-34","2017","2017","Male","M","White","2106-3",55,530742,10.4
,"35-39 years","35-39","1999","1999","Female","F","White","2106-3",32,692340,4.6
,"35-39 years","35-39","1999","1999","Male","M","Black or African American","2054-5",13,101878,Unreliable
,"35-39 years","35-39","1999","1999","Male","M","White","2106-3",98,721168,13.6
,"35-39 years","35-39","2000","2000","Female","F","White","2106-3",44,673816,6.5
,"35-39 years","35-39","2000","2000","Male","M","Black or African American","2054-5",19,100788,Unreliable
,"35-39 years","35-39","2000","2000","Male","M","White","2106-3",82,700696,11.7
,"35-39 years","35-39","2001","2001","Female","F","White","2106-3",42,639166,6.6
,"35-39 years","35-39","2001","2001","Male","M","Black or African American","2054-5",19,98133,Unreliable
,"35-39 years","35-39","2001","2001","Male","M","White","2106-3",95,668054,14.2
,"35-39 years","35-39","2002","2002","Female","F","White","2106-3",40,608907,6.6
,"35-39 years","35-39","2002","2002","Male","M","Black or African American","2054-5",16,94772,Unreliable
,"35-39 years","35-39","2002","2002","Male","M","White","2106-3",114,636915,17.9
,"35-39 years","35-39","2003","2003","Female","F","White","2106-3",42,581368,7.2
,"35-39 years","35-39","2003","2003","Male","M","Black or African American","2054-5",18,91686,Unreliable
,"35-39 years","35-39","2003","2003","Male","M","White","2106-3",94,607925,15.5
,"35-39 years","35-39","2004","2004","Female","F","White","2106-3",37,557000,6.6
,"35-39 years","35-39","2004","2004","Male","M","Black or African American","2054-5",19,88565,Unreliable
,"35-39 years","35-39","2004","2004","Male","M","White","2106-3",108,583340,18.5
,"35-39 years","35-39","2005","2005","Female","F","White","2106-3",39,541817,7.2
,"35-39 years","35-39","2005","2005","Male","M","Black or African American","2054-5",16,86884,Unreliable
,"35-39 years","35-39","2005","2005","Male","M","White","2106-3",85,568489,15.0
,"35-39 years","35-39","2006","2006","Female","F","White","2106-3",36,531702,6.8
,"35-39 years","35-39","2006","2006","Male","M","Black or African American","2054-5",17,85452,Unreliable
,"35-39 years","35-39","2006","2006","Male","M","White","2106-3",81,557541,14.5
,"35-39 years","35-39","2007","2007","Female","F","White","2106-3",21,512533,4.1
,"35-39 years","35-39","2007","2007","Male","M","Black or African American","2054-5",17,83467,Unreliable
,"35-39 years","35-39","2007","2007","Male","M","White","2106-3",69,539150,12.8
,"35-39 years","35-39","2008","2008","Female","F","White","2106-3",26,491896,5.3
,"35-39 years","35-39","2008","2008","Male","M","Black or African American","2054-5",13,81224,Unreliable
,"35-39 years","35-39","2008","2008","Male","M","White","2106-3",67,517603,12.9
,"35-39 years","35-39","2009","2009","Female","F","White","2106-3",13,467490,Unreliable
,"35-39 years","35-39","2009","2009","Male","M","Black or African American","2054-5",12,78762,Unreliable
,"35-39 years","35-39","2009","2009","Male","M","White","2106-3",51,494733,10.3
,"35-39 years","35-39","2010","2010","Female","F","White","2106-3",12,447172,Unreliable
,"35-39 years","35-39","2010","2010","Male","M","Black or African American","2054-5",14,75803,Unreliable
,"35-39 years","35-39","2010","2010","Male","M","White","2106-3",52,474176,11.0
,"35-39 years","35-39","2011","2011","Female","F","White","2106-3",17,421979,Unreliable
,"35-39 years","35-39","2011","2011","Male","M","White","2106-3",36,448874,8.0
,"35-39 years","35-39","2012","2012","Female","F","White","2106-3",14,417512,Unreliable
,"35-39 years","35-39","2012","2012","Male","M","Black or African American","2054-5",12,72436,Unreliable
,"35-39 years","35-39","2012","2012","Male","M","White","2106-3",48,445539,10.8
,"35-39 years","35-39","2013","2013","Female","F","White","2106-3",19,421151,Unreliable
,"35-39 years","35-39","2013","2013","Male","M","White","2106-3",53,449590,11.8
,"35-39 years","35-39","2014","2014","Female","F","White","2106-3",15,427817,Unreliable
,"35-39 years","35-39","2014","2014","Male","M","White","2106-3",57,455992,12.5
,"35-39 years","35-39","2015","2015","Female","F","White","2106-3",13,436990,Unreliable
,"35-39 years","35-39","2015","2015","Male","M","Black or African American","2054-5",13,77956,Unreliable
,"35-39 years","35-39","2015","2015","Male","M","White","2106-3",65,468134,13.9
,"35-39 years","35-39","2016","2016","Female","F","White","2106-3",21,447138,4.7
,"35-39 years","35-39","2016","2016","Male","M","Black or African American","2054-5",14,79057,Unreliable
,"35-39 years","35-39","2016","2016","Male","M","White","2106-3",60,479749,12.5
,"35-39 years","35-39","2017","2017","Female","F","White","2106-3",29,454753,6.4
,"35-39 years","35-39","2017","2017","Male","M","Black or African American","2054-5",15,81583,Unreliable
,"35-39 years","35-39","2017","2017","Male","M","White","2106-3",72,490770,14.7
,"40-44 years","40-44","1999","1999","Female","F","White","2106-3",35,697834,5.0
,"40-44 years","40-44","1999","1999","Male","M","Black or African American","2054-5",11,91743,Unreliable
,"40-44 years","40-44","1999","1999","Male","M","White","2106-3",102,721199,14.1
,"40-44 years","40-44","2000","2000","Female","F","White","2106-3",41,699052,5.9
,"40-44 years","40-44","2000","2000","Male","M","White","2106-3",97,723976,13.4
,"40-44 years","40-44","2001","2001","Female","F","Black or African American","2054-5",11,97985,Unreliable
,"40-44 years","40-44","2001","2001","Female","F","White","2106-3",38,699068,5.4
,"40-44 years","40-44","2001","2001","Male","M","Black or African American","2054-5",12,95950,Unreliable
,"40-44 years","40-44","2001","2001","Male","M","White","2106-3",92,724930,12.7
,"40-44 years","40-44","2002","2002","Female","F","White","2106-3",39,689963,5.7
,"40-44 years","40-44","2002","2002","Male","M","White","2106-3",110,716178,15.4
,"40-44 years","40-44","2003","2003","Female","F","White","2106-3",44,678989,6.5
,"40-44 years","40-44","2003","2003","Male","M","Black or African American","2054-5",19,97104,Unreliable
,"40-44 years","40-44","2003","2003","Male","M","White","2106-3",121,703555,17.2
,"40-44 years","40-44","2004","2004","Female","F","Black or African American","2054-5",10,98774,Unreliable
,"40-44 years","40-44","2004","2004","Female","F","White","2106-3",53,666662,8.0
,"40-44 years","40-44","2004","2004","Male","M","Black or African American","2054-5",11,96986,Unreliable
,"40-44 years","40-44","2004","2004","Male","M","White","2106-3",116,690205,16.8
,"40-44 years","40-44","2005","2005","Female","F","White","2106-3",33,642144,5.1
,"40-44 years","40-44","2005","2005","Male","M","Black or African American","2054-5",17,95523,Unreliable
,"40-44 years","40-44","2005","2005","Male","M","White","2106-3",122,663099,18.4
,"40-44 years","40-44","2006","2006","Female","F","White","2106-3",36,607154,5.9
,"40-44 years","40-44","2006","2006","Male","M","Black or African American","2054-5",15,93250,Unreliable
,"40-44 years","40-44","2006","2006","Male","M","White","2106-3",125,628720,19.9
,"40-44 years","40-44","2007","2007","Female","F","White","2106-3",31,574302,5.4
,"40-44 years","40-44","2007","2007","Male","M","Black or African American","2054-5",19,90026,Unreliable
,"40-44 years","40-44","2007","2007","Male","M","White","2106-3",86,595072,14.5
,"40-44 years","40-44","2008","2008","Female","F","White","2106-3",30,545680,5.5
,"40-44 years","40-44","2008","2008","Male","M","Black or African American","2054-5",11,87395,Unreliable
