"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"25-29 years","25-29","2009","2009","Male","M",113,609737,18.5
,"25-29 years","25-29","2010","2010","Female","F",21,558578,3.8
,"25-29 years","25-29","2010","2010","Male","M",77,611480,12.6
,"25-29 years","25-29","2011","2011","Female","F",19,561015,Unreliable
,"25-29 years","25-29","2011","2011","Male","M",82,623033,13.2
,"25-29 years","25-29","2012","2012","Female","F",25,558819,4.5
,"25-29 years","25-29","2012","2012","Male","M",97,623463,15.6
,"25-29 years","25-29","2013","2013","Female","F",25,565454,4.4
,"25-29 years","25-29","2013","2013","Male","M",101,631960,16.0
,"25-29 years","25-29","2014","2014","Female","F",33,580211,5.7
,"25-29 years","25-29","2014","2014","Male","M",107,635703,16.8
,"25-29 years","25-29","2015","2015","Female","F",26,595938,4.4
,"25-29 years","25-29","2015","2015","Male","M",131,647910,20.2
,"25-29 years","25-29","2016","2016","Female","F",49,614214,8.0
,"25-29 years","25-29","2016","2016","Male","M",148,662625,22.3
,"25-29 years","25-29","2017","2017","Female","F",28,634670,4.4
,"25-29 years","25-29","2017","2017","Male","M",139,687255,20.2
,"30-34 years","30-34","1999","1999","Female","F",21,461268,4.6
,"30-34 years","30-34","1999","1999","Male","M",67,528305,12.7
,"30-34 years","30-34","2000","2000","Female","F",24,463953,5.2
,"30-34 years","30-34","2000","2000","Male","M",65,529296,12.3
,"30-34 years","30-34","2001","2001","Female","F",20,482529,4.1
,"30-34 years","30-34","2001","2001","Male","M",74,541981,13.7
,"30-34 years","30-34","2002","2002","Female","F",21,495222,4.2
,"30-34 years","30-34","2002","2002","Male","M",87,549750,15.8
,"30-34 years","30-34","2003","2003","Female","F",26,506202,5.1
,"30-34 years","30-34","2003","2003","Male","M",97,553869,17.5
,"30-34 years","30-34","2004","2004","Female","F",22,513741,4.3
,"30-34 years","30-34","2004","2004","Male","M",84,554203,15.2
,"30-34 years","30-34","2005","2005","Female","F",28,516441,5.4
,"30-34 years","30-34","2005","2005","Male","M",94,549995,17.1
,"30-34 years","30-34","2006","2006","Female","F",29,518177,5.6
,"30-34 years","30-34","2006","2006","Male","M",105,547752,19.2
,"30-34 years","30-34","2007","2007","Female","F",38,520005,7.3
,"30-34 years","30-34","2007","2007","Male","M",103,547857,18.8
,"30-34 years","30-34","2008","2008","Female","F",18,523222,Unreliable
,"30-34 years","30-34","2008","2008","Male","M",78,552620,14.1
,"30-34 years","30-34","2009","2009","Female","F",19,529244,Unreliable
,"30-34 years","30-34","2009","2009","Male","M",66,559210,11.8
,"30-34 years","30-34","2010","2010","Female","F",18,536932,Unreliable
,"30-34 years","30-34","2010","2010","Male","M",65,567516,11.5
,"30-34 years","30-34","2011","2011","Female","F",15,545087,Unreliable
,"30-34 years","30-34","2011","2011","Male","M",54,582840,9.3
,"30-34 years","30-34","2012","2012","Female","F",15,547744,Unreliable
,"30-34 years","30-34","2012","2012","Male","M",68,589001,11.5
,"30-34 years","30-34","2013","2013","Female","F",22,553584,4.0
,"30-34 years","30-34","2013","2013","Male","M",67,598775,11.2
,"30-34 years","30-34","2014","2014","Female","F",15,564451,Unreliable
,"30-34 years","30-34","2014","2014","Male","M",67,603868,11.1
,"30-34 years","30-34","2015","2015","Female","F",21,564089,3.7
,"30-34 years","30-34","2015","2015","Male","M",89,604556,14.7
,"30-34 years","30-34","2016","2016","Female","F",36,561279,6.4
,"30-34 years","30-34","2016","2016","Male","M",96,605346,15.9
,"30-34 years","30-34","2017","2017","Female","F",20,564042,3.5
,"30-34 years","30-34","2017","2017","Male","M",91,615904,14.8
,"35-39 years","35-39","1999","1999","Female","F",18,408513,Unreliable
,"35-39 years","35-39","1999","1999","Male","M",50,443697,11.3
,"35-39 years","35-39","2000","2000","Female","F",22,419265,5.2
,"35-39 years","35-39","2000","2000","Male","M",59,455133,13.0
,"35-39 years","35-39","2001","2001","Female","F",22,436143,5.0
,"35-39 years","35-39","2001","2001","Male","M",58,473985,12.2
,"35-39 years","35-39","2002","2002","Female","F",22,448017,4.9
,"35-39 years","35-39","2002","2002","Male","M",71,484280,14.7
,"35-39 years","35-39","2003","2003","Female","F",33,460967,7.2
,"35-39 years","35-39","2003","2003","Male","M",73,497282,14.7
,"35-39 years","35-39","2004","2004","Female","F",22,470788,4.7
,"35-39 years","35-39","2004","2004","Male","M",71,507493,14.0
,"35-39 years","35-39","2005","2005","Female","F",32,483258,6.6
,"35-39 years","35-39","2005","2005","Male","M",73,519432,14.1
,"35-39 years","35-39","2006","2006","Female","F",26,494693,5.3
,"35-39 years","35-39","2006","2006","Male","M",77,526579,14.6
,"35-39 years","35-39","2007","2007","Female","F",28,503571,5.6
,"35-39 years","35-39","2007","2007","Male","M",80,531587,15.0
,"35-39 years","35-39","2008","2008","Female","F",23,512818,4.5
,"35-39 years","35-39","2008","2008","Male","M",52,535297,9.7
,"35-39 years","35-39","2009","2009","Female","F",25,521162,4.8
,"35-39 years","35-39","2009","2009","Male","M",48,537582,8.9
,"35-39 years","35-39","2010","2010","Female","F",15,524886,Unreliable
,"35-39 years","35-39","2010","2010","Male","M",44,536895,8.2
,"35-39 years","35-39","2011","2011","Female","F",12,527527,Unreliable
,"35-39 years","35-39","2011","2011","Male","M",48,541816,8.9
,"35-39 years","35-39","2012","2012","Female","F",16,527386,Unreliable
,"35-39 years","35-39","2012","2012","Male","M",48,542650,8.8
,"35-39 years","35-39","2013","2013","Female","F",14,526368,Unreliable
,"35-39 years","35-39","2013","2013","Male","M",66,545802,12.1
,"35-39 years","35-39","2014","2014","Female","F",13,534153,Unreliable
,"35-39 years","35-39","2014","2014","Male","M",42,551424,7.6
,"35-39 years","35-39","2015","2015","Female","F",14,539152,Unreliable
,"35-39 years","35-39","2015","2015","Male","M",66,562267,11.7
,"35-39 years","35-39","2016","2016","Female","F",18,539148,Unreliable
,"35-39 years","35-39","2016","2016","Male","M",54,565292,9.6
,"35-39 years","35-39","2017","2017","Female","F",12,546828,Unreliable
,"35-39 years","35-39","2017","2017","Male","M",68,576703,11.8
,"40-44 years","40-44","1999","1999","Male","M",51,347122,14.7
,"40-44 years","40-44","2000","2000","Female","F",16,347813,Unreliable
,"40-44 years","40-44","2000","2000","Male","M",47,359257,13.1
,"40-44 years","40-44","2001","2001","Female","F",20,368521,5.4
,"40-44 years","40-44","2001","2001","Male","M",52,381816,13.6
,"40-44 years","40-44","2002","2002","Female","F",18,384546,Unreliable
,"40-44 years","40-44","2002","2002","Male","M",73,400611,18.2
,"40-44 years","40-44","2003","2003","Female","F",27,400817,6.7
,"40-44 years","40-44","2003","2003","Male","M",44,417136,10.5
,"40-44 years","40-44","2004","2004","Female","F",19,418141,Unreliable
,"40-44 years","40-44","2004","2004","Male","M",67,435536,15.4
,"40-44 years","40-44","2005","2005","Female","F",24,430052,5.6
,"40-44 years","40-44","2005","2005","Male","M",63,448313,14.1
,"40-44 years","40-44","2006","2006","Female","F",19,440260,Unreliable
,"40-44 years","40-44","2006","2006","Male","M",69,461273,15.0
,"40-44 years","40-44","2007","2007","Female","F",30,448349,6.7
,"40-44 years","40-44","2007","2007","Male","M",60,469061,12.8
,"40-44 years","40-44","2008","2008","Female","F",16,459033,Unreliable
,"40-44 years","40-44","2008","2008","Male","M",62,482038,12.9
,"40-44 years","40-44","2009","2009","Female","F",17,467482,Unreliable
,"40-44 years","40-44","2009","2009","Male","M",39,491819,7.9
,"40-44 years","40-44","2010","2010","Female","F",15,477903,Unreliable
,"40-44 years","40-44","2010","2010","Male","M",45,502522,9.0
,"40-44 years","40-44","2011","2011","Female","F",18,494429,Unreliable
,"40-44 years","40-44","2011","2011","Male","M",47,516297,9.1
,"40-44 years","40-44","2012","2012","Female","F",17,501073,Unreliable
,"40-44 years","40-44","2012","2012","Male","M",51,520679,9.8
,"40-44 years","40-44","2013","2013","Female","F",14,507381,Unreliable
,"40-44 years","40-44","2013","2013","Male","M",43,521146,8.3
,"40-44 years","40-44","2014","2014","Female","F",10,520691,Unreliable
,"40-44 years","40-44","2014","2014","Male","M",46,527532,8.7
,"40-44 years","40-44","2015","2015","Female","F",15,524194,Unreliable
,"40-44 years","40-44","2015","2015","Male","M",45,527322,8.5
,"40-44 years","40-44","2016","2016","Female","F",23,518323,4.4
,"40-44 years","40-44","2016","2016","Male","M",54,521745,10.3
,"40-44 years","40-44","2017","2017","Female","F",24,520345,4.6
,"40-44 years","40-44","2017","2017","Male","M",61,525617,11.6
,"45-49 years","45-49","1999","1999","Female","F",12,254171,Unreliable
,"45-49 years","45-49","1999","1999","Male","M",34,250940,13.5
,"45-49 years","45-49","2000","2000","Female","F",21,268369,7.8
,"45-49 years","45-49","2000","2000","Male","M",32,264977,12.1
,"45-49 years","45-49","2001","2001","Female","F",16,288248,Unreliable
,"45-49 years","45-49","2001","2001","Male","M",34,284833,11.9
,"45-49 years","45-49","2002","2002","Female","F",23,305864,7.5
,"45-49 years","45-49","2002","2002","Male","M",40,302942,13.2
,"45-49 years","45-49","2003","2003","Female","F",20,322946,6.2
,"45-49 years","45-49","2003","2003","Male","M",55,321213,17.1
,"45-49 years","45-49","2004","2004","Female","F",19,338468,Unreliable
,"45-49 years","45-49","2004","2004","Male","M",51,338080,15.1
,"45-49 years","45-49","2005","2005","Female","F",19,355083,Unreliable
,"45-49 years","45-49","2005","2005","Male","M",37,356237,10.4
,"45-49 years","45-49","2006","2006","Female","F",29,368570,7.9
,"45-49 years","45-49","2006","2006","Male","M",61,371488,16.4
,"45-49 years","45-49","2007","2007","Female","F",16,382146,Unreliable
,"45-49 years","45-49","2007","2007","Male","M",63,387375,16.3
,"45-49 years","45-49","2008","2008","Female","F",21,396559,5.3
,"45-49 years","45-49","2008","2008","Male","M",39,401500,9.7
,"45-49 years","45-49","2009","2009","Female","F",16,412661,Unreliable
,"45-49 years","45-49","2009","2009","Male","M",42,418647,10.0
,"45-49 years","45-49","2010","2010","Female","F",18,422011,Unreliable
,"45-49 years","45-49","2010","2010","Male","M",41,428489,9.6
,"45-49 years","45-49","2011","2011","Female","F",17,433224,Unreliable
,"45-49 years","45-49","2011","2011","Male","M",46,445762,10.3
,"45-49 years","45-49","2012","2012","Female","F",15,440584,Unreliable
,"45-49 years","45-49","2012","2012","Male","M",32,454782,7.0
,"45-49 years","45-49","2013","2013","Female","F",17,449569,Unreliable
,"45-49 years","45-49","2013","2013","Male","M",41,467834,8.8
,"45-49 years","45-49","2014","2014","Male","M",38,483295,7.9
,"45-49 years","45-49","2015","2015","Female","F",18,477366,Unreliable
,"45-49 years","45-49","2015","2015","Male","M",41,495096,8.3
,"45-49 years","45-49","2016","2016","Female","F",19,484293,Unreliable
,"45-49 years","45-49","2016","2016","Male","M",52,496759,10.5
,"45-49 years","45-49","2017","2017","Female","F",17,492268,Unreliable
,"45-49 years","45-49","2017","2017","Male","M",45,501648,9.0
,"50-54 years","50-54","1999","1999","Male","M",25,178810,14.0
,"50-54 years","50-54","2000","2000","Female","F",10,200477,Unreliable
,"50-54 years","50-54","2000","2000","Male","M",36,189131,19.0
,"50-54 years","50-54","2001","2001","Female","F",13,217913,Unreliable
,"50-54 years","50-54","2001","2001","Male","M",17,207522,Unreliable
,"50-54 years","50-54","2002","2002","Female","F",19,230208,Unreliable
,"50-54 years","50-54","2002","2002","Male","M",25,219725,11.4
,"50-54 years","50-54","2003","2003","Female","F",15,243997,Unreliable
,"50-54 years","50-54","2003","2003","Male","M",25,233136,10.7
,"50-54 years","50-54","2004","2004","Male","M",30,247870,12.1
,"50-54 years","50-54","2005","2005","Female","F",18,273785,Unreliable
,"50-54 years","50-54","2005","2005","Male","M",26,264089,9.8
,"50-54 years","50-54","2006","2006","Female","F",15,289530,Unreliable
,"50-54 years","50-54","2006","2006","Male","M",47,278972,16.8
,"50-54 years","50-54","2007","2007","Female","F",21,305632,6.9
,"50-54 years","50-54","2007","2007","Male","M",41,295192,13.9
,"50-54 years","50-54","2008","2008","Male","M",31,312395,9.9
,"50-54 years","50-54","2009","2009","Female","F",15,337631,Unreliable
,"50-54 years","50-54","2009","2009","Male","M",41,328866,12.5
,"50-54 years","50-54","2010","2010","Female","F",10,351333,Unreliable
,"50-54 years","50-54","2010","2010","Male","M",24,342919,7.0
,"50-54 years","50-54","2011","2011","Male","M",34,361428,9.4
,"50-54 years","50-54","2012","2012","Female","F",11,378668,Unreliable
,"50-54 years","50-54","2012","2012","Male","M",30,374540,8.0
,"50-54 years","50-54","2013","2013","Female","F",13,390072,Unreliable
,"50-54 years","50-54","2013","2013","Male","M",31,387926,8.0
,"50-54 years","50-54","2014","2014","Male","M",34,407770,8.3
,"50-54 years","50-54","2015","2015","Female","F",13,419610,Unreliable
,"50-54 years","50-54","2015","2015","Male","M",36,420890,8.6
,"50-54 years","50-54","2016","2016","Female","F",23,424416,5.4
,"50-54 years","50-54","2016","2016","Male","M",46,428605,10.7
,"50-54 years","50-54","2017","2017","Female","F",23,431665,5.3
,"50-54 years","50-54","2017","2017","Male","M",44,438278,10.0
,"55-59 years","55-59","1999","1999","Male","M",16,121203,Unreliable
,"55-59 years","55-59","2000","2000","Female","F",11,141886,Unreliable
,"55-59 years","55-59","2000","2000","Male","M",16,126643,Unreliable
,"55-59 years","55-59","2001","2001","Female","F",13,153037,Unreliable
,"55-59 years","55-59","2001","2001","Male","M",18,137173,Unreliable
,"55-59 years","55-59","2002","2002","Male","M",16,149033,Unreliable
,"55-59 years","55-59","2003","2003","Male","M",16,161284,Unreliable
,"55-59 years","55-59","2004","2004","Female","F",13,189763,Unreliable
,"55-59 years","55-59","2004","2004","Male","M",25,173487,14.4
,"55-59 years","55-59","2005","2005","Female","F",13,204633,Unreliable
,"55-59 years","55-59","2005","2005","Male","M",25,187987,13.3
,"55-59 years","55-59","2006","2006","Female","F",11,217735,Unreliable
,"55-59 years","55-59","2006","2006","Male","M",32,201260,15.9
,"55-59 years","55-59","2007","2007","Female","F",18,228678,Unreliable
,"55-59 years","55-59","2007","2007","Male","M",29,211544,13.7
,"55-59 years","55-59","2008","2008","Male","M",29,223554,13.0
,"55-59 years","55-59","2009","2009","Male","M",34,237125,14.3
,"55-59 years","55-59","2010","2010","Female","F",15,268508,Unreliable
,"55-59 years","55-59","2010","2010","Male","M",16,249424,Unreliable
,"55-59 years","55-59","2011","2011","Male","M",16,269166,Unreliable
,"55-59 years","55-59","2012","2012","Female","F",12,302356,Unreliable
,"55-59 years","55-59","2012","2012","Male","M",28,284216,9.9
,"55-59 years","55-59","2013","2013","Male","M",31,299337,10.4
,"55-59 years","55-59","2014","2014","Female","F",12,334362,Unreliable
,"55-59 years","55-59","2014","2014","Male","M",28,317724,8.8
,"55-59 years","55-59","2015","2015","Female","F",12,349653,Unreliable
,"55-59 years","55-59","2015","2015","Male","M",34,335296,10.1
,"55-59 years","55-59","2016","2016","Female","F",16,357969,Unreliable
,"55-59 years","55-59","2016","2016","Male","M",37,344527,10.7
,"55-59 years","55-59","2017","2017","Female","F",15,368612,Unreliable
,"55-59 years","55-59","2017","2017","Male","M",41,356714,11.5
,"60-64 years ","60-64","1999","1999","Male","M",13,91630,Unreliable
,"60-64 years ","60-64","2001","2001","Male","M",18,99018,Unreliable
,"60-64 years ","60-64","2002","2002","Male","M",12,104044,Unreliable
,"60-64 years ","60-64","2003","2003","Female","F",13,127869,Unreliable
,"60-64 years ","60-64","2003","2003","Male","M",13,109787,Unreliable
,"60-64 years ","60-64","2004","2004","Female","F",11,135003,Unreliable
,"60-64 years ","60-64","2004","2004","Male","M",20,115796,17.3
,"60-64 years ","60-64","2005","2005","Female","F",14,142340,Unreliable
,"60-64 years ","60-64","2005","2005","Male","M",13,122537,Unreliable
,"60-64 years ","60-64","2006","2006","Male","M",22,130269,16.9
,"60-64 years ","60-64","2007","2007","Male","M",15,140802,Unreliable
,"60-64 years ","60-64","2008","2008","Male","M",20,151965,13.2
,"60-64 years ","60-64","2009","2009","Male","M",22,163444,13.5
,"60-64 years ","60-64","2010","2010","Male","M",17,174349,Unreliable
,"60-64 years ","60-64","2011","2011","Female","F",10,212368,Unreliable
,"60-64 years ","60-64","2011","2011","Male","M",18,189609,Unreliable
,"60-64 years ","60-64","2012","2012","Male","M",17,198708,Unreliable
,"60-64 years ","60-64","2013","2013","Female","F",11,234009,Unreliable
,"60-64 years ","60-64","2013","2013","Male","M",27,210379,12.8
,"60-64 years ","60-64","2014","2014","Male","M",17,225575,Unreliable
,"60-64 years ","60-64","2015","2015","Female","F",10,266790,Unreliable
,"60-64 years ","60-64","2015","2015","Male","M",24,241401,9.9
,"60-64 years ","60-64","2016","2016","Female","F",10,278982,Unreliable
,"60-64 years ","60-64","2016","2016","Male","M",32,253147,12.6
,"60-64 years ","60-64","2017","2017","Female","F",16,293079,Unreliable
,"60-64 years ","60-64","2017","2017","Male","M",28,267413,10.5
,"65-69 years","65-69","1999","1999","Female","F",11,88610,Unreliable
,"65-69 years","65-69","1999","1999","Male","M",11,71216,Unreliable
,"65-69 years","65-69","2000","2000","Male","M",12,72803,Unreliable
,"65-69 years","65-69","2001","2001","Male","M",10,75750,Unreliable
,"65-69 years","65-69","2002","2002","Male","M",10,78403,Unreliable
,"65-69 years","65-69","2003","2003","Male","M",15,81954,Unreliable
,"65-69 years","65-69","2005","2005","Male","M",12,89050,Unreliable
,"65-69 years","65-69","2006","2006","Female","F",14,114063,Unreliable
,"65-69 years","65-69","2006","2006","Male","M",15,91980,Unreliable
,"65-69 years","65-69","2007","2007","Male","M",18,96353,Unreliable
,"65-69 years","65-69","2008","2008","Male","M",12,101882,Unreliable
,"65-69 years","65-69","2010","2010","Male","M",13,113050,Unreliable
,"65-69 years","65-69","2012","2012","Male","M",14,132026,Unreliable
,"65-69 years","65-69","2014","2014","Male","M",16,154592,Unreliable
,"65-69 years","65-69","2015","2015","Male","M",12,166497,Unreliable
,"65-69 years","65-69","2016","2016","Female","F",11,204673,Unreliable
,"65-69 years","65-69","2016","2016","Male","M",19,176140,Unreliable
,"65-69 years","65-69","2017","2017","Male","M",23,183737,12.5
