"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"40-44 years","40-44","2019","2019","Female","F","White","2106-3",12,398846,Unreliable
,"40-44 years","40-44","2019","2019","Male","M","Black or African American","2054-5",15,69485,Unreliable
,"40-44 years","40-44","2019","2019","Male","M","White","2106-3",45,429067,10.5
,"40-44 years","40-44","2020","2020","Female","F","White","2106-3",16,403014,Unreliable
,"40-44 years","40-44","2020","2020","Male","M","Black or African American","2054-5",24,71452,33.6
,"40-44 years","40-44","2020","2020","Male","M","White","2106-3",64,433931,14.7
,"40-44 years","40-44","2021","2021","Female","F","Black or African American","2054-5",10,69690,Unreliable
,"40-44 years","40-44","2021","2021","Female","F","White","2106-3",15,409177,Unreliable
,"40-44 years","40-44","2021","2021","Male","M","Black or African American","2054-5",13,74723,Unreliable
,"40-44 years","40-44","2021","2021","Male","M","White","2106-3",62,448488,13.8
,"40-44 years","40-44","2022","2022","Female","F","White","2106-3",10,406619,Unreliable
,"40-44 years","40-44","2022","2022","Male","M","Black or African American","2054-5",18,75169,Unreliable
,"40-44 years","40-44","2022","2022","Male","M","White","2106-3",82,450986,18.2
,"40-44 years","40-44","2023 ","2023","Female","F","White","2106-3",15,413653,Unreliable
,"40-44 years","40-44","2023 ","2023","Male","M","Black or African American","2054-5",17,76542,Unreliable
,"40-44 years","40-44","2023 ","2023","Male","M","White","2106-3",68,454426,15.0
,"45-49 years","45-49","2018","2018","Female","F","White","2106-3",18,453183,Unreliable
,"45-49 years","45-49","2018","2018","Male","M","Black or African American","2054-5",24,73019,32.9
,"45-49 years","45-49","2018","2018","Male","M","White","2106-3",54,476424,11.3
,"45-49 years","45-49","2019","2019","Female","F","White","2106-3",16,429578,Unreliable
,"45-49 years","45-49","2019","2019","Male","M","Black or African American","2054-5",11,70689,Unreliable
,"45-49 years","45-49","2019","2019","Male","M","White","2106-3",57,454600,12.5
,"45-49 years","45-49","2020","2020","Female","F","White","2106-3",15,404856,Unreliable
,"45-49 years","45-49","2020","2020","Male","M","Black or African American","2054-5",21,68277,30.8
,"45-49 years","45-49","2020","2020","Male","M","White","2106-3",48,430735,11.1
,"45-49 years","45-49","2021","2021","Female","F","White","2106-3",13,383097,Unreliable
,"45-49 years","45-49","2021","2021","Male","M","Black or African American","2054-5",15,67842,Unreliable
,"45-49 years","45-49","2021","2021","Male","M","White","2106-3",53,416374,12.7
,"45-49 years","45-49","2022","2022","Female","F","White","2106-3",18,369065,Unreliable
,"45-49 years","45-49","2022","2022","Male","M","Black or African American","2054-5",15,67159,Unreliable
,"45-49 years","45-49","2022","2022","Male","M","White","2106-3",74,406626,18.2
,"45-49 years","45-49","2023 ","2023","Female","F","White","2106-3",14,370475,Unreliable
,"45-49 years","45-49","2023 ","2023","Male","M","Black or African American","2054-5",19,67305,Unreliable
,"45-49 years","45-49","2023 ","2023","Male","M","White","2106-3",59,402954,14.6
,"50-54 years","50-54","2018","2018","Female","F","White","2106-3",20,501124,4.0
,"50-54 years","50-54","2018","2018","Male","M","White","2106-3",57,515351,11.1
,"50-54 years","50-54","2019","2019","Female","F","White","2106-3",20,479706,4.2
,"50-54 years","50-54","2019","2019","Male","M","Black or African American","2054-5",14,74455,Unreliable
,"50-54 years","50-54","2019","2019","Male","M","White","2106-3",74,494222,15.0
,"50-54 years","50-54","2020","2020","Female","F","White","2106-3",16,467492,Unreliable
,"50-54 years","50-54","2020","2020","Male","M","Black or African American","2054-5",18,73367,Unreliable
,"50-54 years","50-54","2020","2020","Male","M","White","2106-3",66,483552,13.6
,"50-54 years","50-54","2021","2021","Female","F","White","2106-3",25,456901,5.5
,"50-54 years","50-54","2021","2021","Male","M","Black or African American","2054-5",20,74148,27.0
,"50-54 years","50-54","2021","2021","Male","M","White","2106-3",88,486525,18.1
,"50-54 years","50-54","2022","2022","Female","F","White","2106-3",18,435083,Unreliable
,"50-54 years","50-54","2022","2022","Male","M","Black or African American","2054-5",15,72839,Unreliable
,"50-54 years","50-54","2022","2022","Male","M","White","2106-3",77,470338,16.4
,"50-54 years","50-54","2023 ","2023","Female","F","White","2106-3",16,419792,Unreliable
,"50-54 years","50-54","2023 ","2023","Male","M","Black or African American","2054-5",18,70909,Unreliable
,"50-54 years","50-54","2023 ","2023","Male","M","White","2106-3",68,449933,15.1
,"55-59 years","55-59","2018","2018","Female","F","White","2106-3",32,583536,5.5
,"55-59 years","55-59","2018","2018","Male","M","White","2106-3",94,588269,16.0
,"55-59 years","55-59","2019","2019","Female","F","White","2106-3",27,567358,4.8
,"55-59 years","55-59","2019","2019","Male","M","Black or African American","2054-5",15,78215,Unreliable
,"55-59 years","55-59","2019","2019","Male","M","White","2106-3",87,572604,15.2
,"55-59 years","55-59","2020","2020","Female","F","White","2106-3",21,543352,3.9
,"55-59 years","55-59","2020","2020","Male","M","Black or African American","2054-5",16,76487,Unreliable
,"55-59 years","55-59","2020","2020","Male","M","White","2106-3",87,548968,15.8
,"55-59 years","55-59","2021","2021","Female","F","Black or African American","2054-5",10,78055,Unreliable
,"55-59 years","55-59","2021","2021","Female","F","White","2106-3",27,512961,5.3
,"55-59 years","55-59","2021","2021","Male","M","Black or African American","2054-5",18,76321,Unreliable
,"55-59 years","55-59","2021","2021","Male","M","White","2106-3",85,531753,16.0
,"55-59 years","55-59","2022","2022","Female","F","White","2106-3",28,478237,5.9
,"55-59 years","55-59","2022","2022","Male","M","Black or African American","2054-5",19,73770,Unreliable
,"55-59 years","55-59","2022","2022","Male","M","White","2106-3",85,501634,16.9
,"55-59 years","55-59","2023 ","2023","Female","F","White","2106-3",15,457712,Unreliable
,"55-59 years","55-59","2023 ","2023","Male","M","Black or African American","2054-5",14,72044,Unreliable
,"55-59 years","55-59","2023 ","2023","Male","M","White","2106-3",81,477648,17.0
,"60-64 years ","60-64","2018","2018","Female","F","White","2106-3",27,576401,4.7
,"60-64 years ","60-64","2018","2018","Male","M","White","2106-3",72,562307,12.8
,"60-64 years ","60-64","2019","2019","Female","F","White","2106-3",28,568109,4.9
,"60-64 years ","60-64","2019","2019","Male","M","Black or African American","2054-5",10,66845,Unreliable
,"60-64 years ","60-64","2019","2019","Male","M","White","2106-3",63,557447,11.3
,"60-64 years ","60-64","2020","2020","Female","F","White","2106-3",23,560394,4.1
,"60-64 years ","60-64","2020","2020","Male","M","Black or African American","2054-5",11,68519,Unreliable
,"60-64 years ","60-64","2020","2020","Male","M","White","2106-3",83,552946,15.0
,"60-64 years ","60-64","2021","2021","Female","F","White","2106-3",24,547511,4.4
,"60-64 years ","60-64","2021","2021","Male","M","Black or African American","2054-5",21,70837,29.6
,"60-64 years ","60-64","2021","2021","Male","M","White","2106-3",92,556699,16.5
,"60-64 years ","60-64","2022","2022","Female","F","White","2106-3",23,528757,4.3
,"60-64 years ","60-64","2022","2022","Male","M","Black or African American","2054-5",15,70661,Unreliable
,"60-64 years ","60-64","2022","2022","Male","M","White","2106-3",94,540668,17.4
,"60-64 years ","60-64","2023 ","2023","Female","F","White","2106-3",19,520481,Unreliable
,"60-64 years ","60-64","2023 ","2023","Male","M","Black or African American","2054-5",19,70981,Unreliable
,"60-64 years ","60-64","2023 ","2023","Male","M","White","2106-3",78,529166,14.7
,"65-69 years","65-69","2018","2018","Female","F","White","2106-3",21,515570,4.1
,"65-69 years","65-69","2018","2018","Male","M","White","2106-3",73,479815,15.2
,"65-69 years","65-69","2019","2019","Female","F","White","2106-3",24,518445,4.6
,"65-69 years","65-69","2019","2019","Male","M","White","2106-3",56,482862,11.6
,"65-69 years","65-69","2020","2020","Female","F","White","2106-3",22,517057,4.3
,"65-69 years","65-69","2020","2020","Male","M","White","2106-3",72,481509,15.0
,"65-69 years","65-69","2021","2021","Female","F","White","2106-3",14,510795,Unreliable
,"65-69 years","65-69","2021","2021","Male","M","White","2106-3",63,488635,12.9
,"65-69 years","65-69","2022","2022","Female","F","White","2106-3",19,502753,Unreliable
,"65-69 years","65-69","2022","2022","Male","M","White","2106-3",73,484121,15.1
,"65-69 years","65-69","2023 ","2023","Female","F","White","2106-3",21,506150,4.1
,"65-69 years","65-69","2023 ","2023","Male","M","White","2106-3",73,490213,14.9
,"70-74 years","70-74","2018","2018","Female","F","White","2106-3",21,434757,4.8
,"70-74 years","70-74","2018","2018","Male","M","White","2106-3",38,391282,9.7
,"70-74 years","70-74","2019","2019","Female","F","White","2106-3",21,448627,4.7
,"70-74 years","70-74","2019","2019","Male","M","White","2106-3",53,403796,13.1
,"70-74 years","70-74","2020","2020","Female","F","White","2106-3",14,457209,Unreliable
,"70-74 years","70-74","2020","2020","Male","M","White","2106-3",45,410344,11.0
,"70-74 years","70-74","2021","2021","Female","F","White","2106-3",15,460629,Unreliable
,"70-74 years","70-74","2021","2021","Male","M","White","2106-3",57,419373,13.6
,"70-74 years","70-74","2022","2022","Female","F","White","2106-3",23,447131,5.1
,"70-74 years","70-74","2022","2022","Male","M","White","2106-3",38,404568,9.4
,"70-74 years","70-74","2023 ","2023","Female","F","White","2106-3",15,451060,Unreliable
,"70-74 years","70-74","2023 ","2023","Male","M","White","2106-3",53,409137,13.0
,"75-79 years","75-79","2018","2018","Female","F","White","2106-3",18,307201,Unreliable
,"75-79 years","75-79","2018","2018","Male","M","White","2106-3",29,260031,11.2
,"75-79 years","75-79","2019","2019","Female","F","White","2106-3",16,319332,Unreliable
,"75-79 years","75-79","2019","2019","Male","M","White","2106-3",42,270398,15.5
,"75-79 years","75-79","2020","2020","Male","M","White","2106-3",28,278575,10.1
,"75-79 years","75-79","2021","2021","Female","F","White","2106-3",18,321057,Unreliable
,"75-79 years","75-79","2021","2021","Male","M","White","2106-3",43,275888,15.6
,"75-79 years","75-79","2022","2022","Female","F","White","2106-3",20,353017,5.7
,"75-79 years","75-79","2022","2022","Male","M","White","2106-3",35,303369,11.5
,"75-79 years","75-79","2023 ","2023","Female","F","White","2106-3",21,365375,5.7
,"75-79 years","75-79","2023 ","2023","Male","M","White","2106-3",31,316412,9.8
,"80-84 years","80-84","2018","2018","Female","F","White","2106-3",15,214457,Unreliable
,"80-84 years","80-84","2018","2018","Male","M","White","2106-3",30,167250,17.9
,"80-84 years","80-84","2019","2019","Female","F","White","2106-3",16,218491,Unreliable
,"80-84 years","80-84","2019","2019","Male","M","White","2106-3",35,170909,20.5
,"80-84 years","80-84","2020","2020","Female","F","White","2106-3",14,220657,Unreliable
,"80-84 years","80-84","2020","2020","Male","M","White","2106-3",24,172786,13.9
,"80-84 years","80-84","2021","2021","Female","F","White","2106-3",19,210838,Unreliable
,"80-84 years","80-84","2021","2021","Male","M","White","2106-3",33,166431,19.8
,"80-84 years","80-84","2022","2022","Female","F","White","2106-3",15,225809,Unreliable
,"80-84 years","80-84","2022","2022","Male","M","White","2106-3",25,175635,14.2
,"80-84 years","80-84","2023 ","2023","Female","F","White","2106-3",14,235302,Unreliable
,"80-84 years","80-84","2023 ","2023","Male","M","White","2106-3",25,186275,13.4
,"85-89 years","85-89","2018","2018","Female","F","White","2106-3",14,Not Applicable,Not Applicable
,"85-89 years","85-89","2018","2018","Male","M","White","2106-3",16,Not Applicable,Not Applicable
,"85-89 years","85-89","2019","2019","Female","F","White","2106-3",11,Not Applicable,Not Applicable
,"85-89 years","85-89","2019","2019","Male","M","White","2106-3",12,Not Applicable,Not Applicable
,"85-89 years","85-89","2020","2020","Female","F","White","2106-3",18,Not Applicable,Not Applicable
,"85-89 years","85-89","2020","2020","Male","M","White","2106-3",15,Not Applicable,Not Applicable
,"85-89 years","85-89","2021","2021","Female","F","White","2106-3",14,Not Applicable,Not Applicable
,"85-89 years","85-89","2021","2021","Male","M","White","2106-3",24,Not Applicable,Not Applicable
,"85-89 years","85-89","2022","2022","Female","F","White","2106-3",12,Not Applicable,Not Applicable
,"85-89 years","85-89","2022","2022","Male","M","White","2106-3",18,Not Applicable,Not Applicable
,"85-89 years","85-89","2023 ","2023","Male","M","White","2106-3",16,Not Applicable,Not Applicable
,"90-94 years","90-94","2018","2018","Female","F","White","2106-3",10,Not Applicable,Not Applicable
,"90-94 years","90-94","2018","2018","Male","M","White","2106-3",16,Not Applicable,Not Applicable
,"90-94 years","90-94","2020","2020","Male","M","White","2106-3",10,Not Applicable,Not Applicable
,"90-94 years","90-94","2022","2022","Male","M","White","2106-3",15,Not Applicable,Not Applicable
,"90-94 years","90-94","2023 ","2023","Female","F","White","2106-3",10,Not Applicable,Not Applicable
,"90-94 years","90-94","2023 ","2023","Male","M","White","2106-3",11,Not Applicable,Not Applicable
"---"
"Dataset: Multiple Cause of Death, 2018-2023, Single Race"
"Query Parameters:"
"Hispanic Origin: Not Hispanic or Latino"
"Single Race 6: Black or African American; White"
"States: California (06)"
"UCD - ICD-10 Codes: V20.0 (Motorcycle rider injured in collision with pedestrian or animal, driver injured in nontraffic"
"accident); V20.1 (Motorcycle rider injured in collision with pedestrian or animal, passenger injured in nontraffic accident);"
"V20.2 (Motorcycle rider injured in collision with pedestrian or animal, unspecified motorcycle rider injured in nontraffic"
"accident); V20.3 (Motorcycle rider injured in collision with pedestrian or animal, person injured while boarding or alighting);"
"V20.4 (Motorcycle rider injured in collision with pedestrian or animal, driver injured in traffic accident); V20.5 (Motorcycle"
"rider injured in collision with pedestrian or animal, passenger injured in traffic accident); V20.9 (Motorcycle rider injured in"
"collision with pedestrian or animal, unspecified motorcycle rider injured in traffic accident); V21.0 (Motorcycle rider injured"
"in collision with pedal cycle, driver injured in nontraffic accident); V21.1 (Motorcycle rider injured in collision with pedal"
"cycle, passenger injured in nontraffic accident); V21.2 (Motorcycle rider injured in collision with pedal cycle, unspecified"
"motorcycle rider injured in nontraffic accident); V21.3 (Motorcycle rider injured in collision with pedal cycle, person injured"
"while boarding or alighting); V21.4 (Motorcycle rider injured in collision with pedal cycle, driver injured in traffic"
"accident); V21.5 (Motorcycle rider injured in collision with pedal cycle, passenger injured in traffic accident); V21.9"
"(Motorcycle rider injured in collision with pedal cycle, unspecified motorcycle rider injured in traffic accident); V22.0"
"(Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, driver injured in nontraffic accident); V22.1"
"(Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, passenger injured in nontraffic accident);"
"V22.2 (Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, unspecified motorcycle rider injured in"
"nontraffic accident); V22.3 (Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, person injured"
"while boarding or alighting); V22.4 (Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, driver"
"injured in traffic accident); V22.5 (Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, passenger"
"injured in traffic accident); V22.9 (Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, unspecified"
"motorcycle rider injured in traffic accident); V23.0 (Motorcycle rider injured in collision with car, pick-up truck or van,"
"driver injured in nontraffic accident); V23.1 (Motorcycle rider injured in collision with car, pick-up truck or van, passenger"
"injured in nontraffic accident); V23.2 (Motorcycle rider injured in collision with car, pick-up truck or van, unspecified"
"motorcycle rider injured in nontraffic accident); V23.3 (Motorcycle rider injured in collision with car, pick-up truck or van,"
"person injured while boarding or alighting); V23.4 (Motorcycle rider injured in collision with car, pick-up truck or van, driver"
"injured in traffic accident); V23.5 (Motorcycle rider injured in collision with car, pick-up truck or van, passenger injured in"
"traffic accident); V23.9 (Motorcycle rider injured in collision with car, pick-up truck or van, unspecified motorcycle rider"
"injured in traffic accident); V24.0 (Motorcycle rider injured in collision with heavy transport vehicle or bus, driver injured"
"in nontraffic accident); V24.1 (Motorcycle rider injured in collision with heavy transport vehicle or bus, passenger injured in"
"nontraffic accident); V24.2 (Motorcycle rider injured in collision with heavy transport vehicle or bus, unspecified motorcycle"
"rider injured in nontraffic accident); V24.3 (Motorcycle rider injured in collision with heavy transport vehicle or bus, person"
"injured while boarding or alighting); V24.4 (Motorcycle rider injured in collision with heavy transport vehicle or bus, driver"
"injured in traffic accident); V24.5 (Motorcycle rider injured in collision with heavy transport vehicle or bus, passenger"
"injured in traffic accident); V24.9 (Motorcycle rider injured in collision with heavy transport vehicle or bus, unspecified"
"motorcycle rider injured in traffic accident); V25.0 (Motorcycle rider injured in collision with railway train or railway"
"vehicle, driver injured in nontraffic accident); V25.1 (Motorcycle rider injured in collision with railway train or railway"
"vehicle, passenger injured in nontraffic accident); V25.2 (Motorcycle rider injured in collision with railway train or railway"
"vehicle, unspecified motorcycle rider injured in nontraffic accident); V25.3 (Motorcycle rider injured in collision with railway"
"train or railway vehicle, person injured while boarding or alighting); V25.4 (Motorcycle rider injured in collision with railway"
"train or railway vehicle, driver injured in traffic accident); V25.5 (Motorcycle rider injured in collision with railway train"
"or railway vehicle, passenger injured in traffic accident); V25.9 (Motorcycle rider injured in collision with railway train or"
"railway vehicle, unspecified motorcycle rider injured in traffic accident); V26.0 (Motorcycle rider injured in collision with"
"other nonmotor vehicle, driver injured in nontraffic accident); V26.1 (Motorcycle rider injured in collision with other nonmotor"
"vehicle, passenger injured in nontraffic accident); V26.2 (Motorcycle rider injured in collision with other nonmotor vehicle,"
"unspecified motorcycle rider injured in nontraffic accident); V26.3 (Motorcycle rider injured in collision with other nonmotor"
"vehicle, person injured while boarding or alighting); V26.4 (Motorcycle rider injured in collision with other nonmotor vehicle,"
"driver injured in traffic accident); V26.5 (Motorcycle rider injured in collision with other nonmotor vehicle, passenger injured"
"in traffic accident); V26.9 (Motorcycle rider injured in collision with other nonmotor vehicle, unspecified motorcycle rider"
"injured in traffic accident); V27.0 (Motorcycle rider injured in collision with fixed or stationary object, driver injured in"
"nontraffic accident); V27.1 (Motorcycle rider injured in collision with fixed or stationary object, passenger injured in"
"nontraffic accident); V27.2 (Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider"
"injured in nontraffic accident); V27.3 (Motorcycle rider injured in collision with fixed or stationary object, person injured"
"while boarding or alighting); V27.4 (Motorcycle rider injured in collision with fixed or stationary object, driver injured in"
"traffic accident); V27.5 (Motorcycle rider injured in collision with fixed or stationary object, passenger injured in traffic"
"accident); V27.9 (Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in"
"traffic accident); V28.0 (Motorcycle rider injured in noncollision transport accident, driver injured in nontraffic accident);"
"V28.1 (Motorcycle rider injured in noncollision transport accident, passenger injured in nontraffic accident); V28.2 (Motorcycle"
"rider injured in noncollision transport accident, unspecified motorcycle rider injured in nontraffic accident); V28.3"
"(Motorcycle rider injured in noncollision transport accident, person injured while boarding or alighting); V28.4 (Motorcycle"
"rider injured in noncollision transport accident, driver injured in traffic accident); V28.5 (Motorcycle rider injured in"
"noncollision transport accident, passenger injured in traffic accident); V28.9 (Motorcycle rider injured in noncollision"
"transport accident, unspecified motorcycle rider injured in traffic accident); V29.0 (Driver injured in collision with other and"
"unspecified motor vehicles in nontraffic accident); V29.1 (Passenger injured in collision with other and unspecified motor"
"vehicles in nontraffic accident); V29.2 (Unspecified motorcycle rider injured in collision with other and unspecified motor"
"vehicles in nontraffic accident); V29.3 (Motorcycle rider [any] injured in unspecified nontraffic accident); V29.4 (Driver"
"injured in collision with other and unspecified motor vehicles in traffic accident); V29.5 (Passenger injured in collision with"
"other and unspecified motor vehicles in traffic accident); V29.6 (Unspecified motorcycle rider injured in collision with other"
